bulan,provinsi,komoditas,rata_rata_harga
2025-01,Sulawesi Tengah,Bawang Putih,48585.18518518518
2025-01,Sulawesi Tengah,Beras,14542.592592592593
2025-01,Sulawesi Tengah,Cabai Merah,32114.814814814814
2025-01,Sulawesi Tengah,Cabai Rawit,58651.851851851854
2025-01,Sulawesi Tengah,Daging Ayam,35088.88888888889
2025-01,Sulawesi Tengah,Daging Sapi,143148.14814814815
2025-01,Sulawesi Tengah,Gula Pasir,19861.11111111111
2025-01,Sulawesi Tengah,Minyak Goreng,19383.333333333332
2025-01,Sulawesi Tengah,Telur Ayam,31566.666666666668
2025-01,Sulawesi Tenggara,Bawang Merah,44568.51851851852
2025-01,Sulawesi Tenggara,Bawang Putih,49746.2962962963
2025-01,Sulawesi Tenggara,Beras,14816.666666666666
2025-01,Sulawesi Tenggara,Cabai Merah,44755.555555555555
2025-01,Sulawesi Tenggara,Cabai Rawit,55053.7037037037
2025-01,Sulawesi Tenggara,Daging Ayam,37894.444444444445
2025-01,Sulawesi Tenggara,Daging Sapi,138450.0
2025-01,Sulawesi Tenggara,Gula Pasir,20270.37037037037
2025-01,Sulawesi Tenggara,Minyak Goreng,21103.703703703704
2025-01,Sulawesi Tenggara,Telur Ayam,30703.703703703704
2025-01,Sulawesi Utara,Bawang Merah,45018.51851851852
2025-01,Sulawesi Utara,Bawang Putih,47098.148148148146
2025-01,Sulawesi Utara,Beras,14048.148148148148
2025-01,Sulawesi Utara,Cabai Merah,29779.62962962963
2025-01,Sulawesi Utara,Cabai Rawit,51292.59259259259
2025-01,Sulawesi Utara,Daging Ayam,41533.333333333336
2025-01,Sulawesi Utara,Daging Sapi,133750.0
2025-01,Sulawesi Utara,Gula Pasir,17935.185185185186
2025-01,Sulawesi Utara,Minyak Goreng,18807.40740740741
2025-01,Sulawesi Utara,Telur Ayam,31551.85185185185
2025-01,Sumatera Barat,Bawang Merah,40067.307692307695
2025-01,Sumatera Barat,Bawang Putih,42436.53846153846
2025-01,Sumatera Barat,Beras,17219.23076923077
2025-01,Sumatera Barat,Cabai Merah,60232.692307692305
2025-01,Sumatera Barat,Cabai Rawit,54798.07692307692
2025-01,Sumatera Barat,Daging Ayam,50217.307692307695
2025-01,Sumatera Barat,Daging Sapi,145000.0
2025-01,Sumatera Barat,Gula Pasir,18975.0
2025-01,Sumatera Barat,Minyak Goreng,20459.615384615383
2025-01,Sumatera Barat,Telur Ayam,29342.30769230769
2025-01,Sumatera Selatan,Bawang Merah,41327.77777777778
2025-01,Sumatera Selatan,Bawang Putih,42585.18518518518
2025-01,Sumatera Selatan,Beras,14937.037037037036
2025-01,Sumatera Selatan,Cabai Merah,60950.0
