tanggal,commodity_id,komoditas,provinsi,id_provinsi,harga,show,avg_api,stddev_api,bulan
2024-01-02,1,Beras,Papua Barat,34,15500.0,True,14700.0,1250.0,2024-01
2024-01-02,2,Daging Ayam,Aceh,1,29450.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Sumatera Utara,2,34350.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Sumatera Barat,3,44500.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Riau,4,27650.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Kepulauan Riau,5,37500.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Jambi,6,33600.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Bengkulu,7,34150.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Sumatera Selatan,8,32750.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Kepulauan Bangka Belitung,9,38650.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Lampung,10,31700.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Banten,11,37750.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Jawa Barat,12,35200.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,DKI Jakarta,13,36000.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Jawa Tengah,14,33300.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,DI Yogyakarta,15,34750.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Jawa Timur,16,31850.0,True,37550.0,6700.0,2024-01
2024-01-02,2,Daging Ayam,Bali,17,36650.0,True,37550.0,6700.0,2024-01
